UID          PID    PPID  C STIME TTY          TIME CMD
kali        1297    1181  0 14:49 ?        00:00:00 /usr/lib/x86_64-linux-gnu/xfce4/xfconf/xfconfd
kali        1304    1181  0 14:49 ?        00:00:00 /usr/libexec/at-spi2-registryd --use-gnome-session
kali        1316    1181  0 14:49 ?        00:00:00 /usr/bin/gpg-agent --supervised
kali        1318    1229  0 14:49 ?        00:00:09 xfwm4 --display :0.0 --sm-client-id 21ef68d74-8e3f-439a-9fa4-48193153498d
kali        1322    1181  0 14:49 ?        00:00:00 /usr/libexec/gvfsd
kali        1328    1181  0 14:49 ?        00:00:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
kali        1352    1229  0 14:49 ?        00:00:00 xfsettingsd --display :0.0 --sm-client-id 22b9be8a9-063e-44f6-8817-c2779679d5db
root        1356       1  0 14:49 ?        00:00:00 /usr/libexec/upowerd
kali        1362    1229  0 14:49 ?        00:00:00 xfce4-panel --display :0.0 --sm-client-id 2335be51f-82a4-49f1-8fd0-d2876b65ac1c
kali        1367    1229  0 14:49 ?        00:00:00 Thunar --sm-client-id 2fdd9b053-c57d-434b-a33d-04926bde1e56 --daemon
kali        1373    1229  0 14:49 ?        00:00:03 xfdesktop --display :0.0 --sm-client-id 2fbf72537-78cd-4f80-aff7-5d92b736ab96
kali        1374    1362  0 14:49 ?        00:00:00 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libwhiskermenu.so 1 16777223 whiskermenu Whisker Menu Show a menu to easily access installed applications
kali        1381    1362  0 14:49 ?        00:00:08 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libcpugraph.so 13 16777228 cpugraph CPU Graph Graphical representation of the CPU load
kali        1382    1362  0 14:49 ?        00:00:00 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libsystray.so 14 16777229 systray Status Tray Plugin Provides status notifier items (application indicators) and legacy systray items
kali        1383    1362  0 14:49 ?        00:00:06 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libgenmon.so 15 16777230 genmon Generic Monitor Show output of a command.
kali        1384    1362  0 14:49 ?        00:00:00 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libpulseaudio-plugin.so 16 16777231 pulseaudio PulseAudio Plugin Adjust the audio volume of the PulseAudio sound system
kali        1385    1362  0 14:49 ?        00:00:00 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libnotification-plugin.so 17 16777232 notification-plugin Notification Plugin Notification plugin for the Xfce panel
kali        1386    1362  0 14:49 ?        00:00:01 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libxfce4powermanager.so 18 16777233 power-manager-plugin Power Manager Plugin Display the battery levels of your devices and control the brightness of your display
kali        1387    1362  0 14:49 ?        00:00:00 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libactions.so 22 16777234 actions Action Buttons Log out, lock or other system actions
kali        1412    1181  0 14:49 ?        00:00:00 /usr/lib/x86_64-linux-gnu/xfce4/notifyd/xfce4-notifyd
kali        1457    1229  0 14:49 ?        00:00:00 xfce4-power-manager --restart --sm-client-id 2a05d6f9a-e920-4b2d-ac69-989a20cceebe
kali        1465    1229  0 14:49 ?        00:00:00 /usr/libexec/geoclue-2.0/demos/agent
kali        1466    1229  0 14:49 ?        00:00:00 /usr/bin/python3 /usr/bin/blueman-applet
kali        1472    1229  0 14:49 ?        00:00:00 xiccd
kali        1476       1  0 14:49 ?        00:00:01 /usr/bin/vmtoolsd -n vmusr --blockFd 3
kali        1489       1  0 14:49 ?        00:00:00 xcape -e Super_L Control_L Escape
kali        1492    1229  0 14:49 ?        00:00:00 nm-applet
kali        1504    1229  0 14:49 ?        00:00:00 light-locker
kali        1509    1229  0 14:49 ?        00:00:00 /usr/lib/policykit-1-gnome/polkit-gnome-authentication-agent-1
kali        1570    1181  0 14:49 ?        00:00:00 /usr/libexec/dconf-service
kali        1585    1181  0 14:49 ?        00:00:00 /usr/libexec/gvfs-udisks2-volume-monitor
root        1608       1  0 14:49 ?        00:00:00 /usr/libexec/udisks2/udisksd
kali        1649    1181  0 14:49 ?        00:00:00 /usr/libexec/gvfs-mtp-volume-monitor
kali        1657    1181  0 14:49 ?        00:00:00 /usr/libexec/gvfs-gphoto2-volume-monitor
kali        1665    1181  0 14:49 ?        00:00:00 /usr/libexec/gvfs-goa-volume-monitor
kali        1678    1181  0 14:49 ?        00:00:00 /usr/libexec/gvfs-afc-volume-monitor
kali        1696    1322  0 14:49 ?        00:00:00 /usr/libexec/gvfsd-trash --spawner :1.20 /org/gtk/gvfs/exec_spaw/0
kali        1702    1181  0 14:49 ?        00:00:00 /usr/libexec/gvfsd-metadata
kali        1711    1181  0 14:49 ?        00:00:00 /usr/libexec/bluetooth/obexd
kali        2034       1  1 14:50 ?        00:00:19 /usr/bin/qterminal
kali        2045    2034  0 14:50 pts/0    00:00:11 /usr/bin/zsh
root        4454       2  0 14:55 ?        00:00:00 [kworker/3:0-events]
root        6447       2  0 14:56 ?        00:00:00 [kworker/2:0-rcu_par_gp]
root        6789       1  0 14:56 ?        00:00:00 /lib/systemd/systemd-journald
root        6790       2  0 14:56 ?        00:00:00 [kworker/1:0-cgroup_destroy]
root        6791       2  0 14:56 ?        00:00:00 [psimon]
root        7514       2  0 14:56 ?        00:00:00 [kworker/0:0-ata_sff]
root       17015       1  0 14:59 ?        00:00:00 /lib/systemd/systemd-udevd
root       17016       2  0 14:59 ?        00:00:00 [psimon]
root       26326       2  0 15:00 ?        00:00:00 [kworker/1:0H-kblockd]
root       26467       1  0 15:00 ?        00:00:01 /usr/bin/vmtoolsd
root       27872       1  0 15:00 ?        00:00:00 /usr/sbin/cron -f
root       28063       1  0 15:00 ?        00:00:00 vmware-vmblock-fuse /run/vmblock-fuse -o rw,subtype=vmware-vmblock,default_permissions,allow_other,dev,suid
root       29682       1  0 15:00 ?        00:00:00 /usr/sbin/NetworkManager --no-daemon
colord     32004       1  0 15:01 ?        00:00:00 /usr/libexec/colord
root       32005       2  0 15:01 ?        00:00:00 [kworker/1:1-events]
root       32892       2  0 15:01 ?        00:00:01 [kworker/u64:3-events_unbound]
root       42132       2  0 15:01 ?        00:00:00 [psimon]
root       52766       2  0 15:06 ?        00:00:00 [kworker/0:1-ata_sff]
root       54405       2  0 15:09 ?        00:00:00 [kworker/2:1-mpt_poll_0]
root       54448       2  0 15:09 ?        00:00:00 [kworker/1:2]
kali       55442    2045 99 15:10 pts/0    00:00:00 ps -ef
